serial	track1_filename	md5
SCES-00003	Jumping Flash! (Europe).bin	bfe9de682f985076dc5409ecabb7e51d
SCES-00004	Rapid Reload (Europe).bin	88d1307bd8d85d31ed3d313d2f9a4235
SCES-00006	CyberSled (Europe) (Track 01).bin	19c5985e74ed9b91bc70a43a8b3df6ef
SCES-00008	Destruction Derby (Europe) (Track 01).bin	404b066fdb3ca0e6df736693e3a302c7
SCES-00010	Wipeout (Europe) (Track 01).bin	23c2abd60259c0ddb84a2c4e72278729
SCES-00059	Philosoma (Europe) (En,Fr,De).bin	5a5d19cd9246f6252ff5160fbd743ff9
SCES-00061	Twisted Metal (Europe) (Track 1).bin	f5ae4a8dc696a33264a7770be69c64e4
SCES-00163	Mickey's Wild Adventure (Europe) (EDC) (Track 01).bin	6f053a319c3f7154a7393c5489840867
SCES-00243	Namco Museum Vol. 1 (Europe) (Track 01).bin	5edd9e522cc9540e10031d17d866566f
SCES-00245	Motor Toon Grand Prix 2 (Europe).bin	8b33bff38d5317b619eeeb9009342ea6
SCES-00255	Tekken 2 (Europe) (Track 1).bin	b1e39ab19c8ff3739a28c5be03c95642
SCES-00267	Namco Museum Vol. 2 (Europe) (Track 01).bin	8f1a882080f17f963bcfb66fcb84bf8d
SCES-00311	MediEvil (Europe) (Track 1).bin	6d222937049c7ef56caa0994b0246790
SCES-00321	Wild Arms (Europe).bin	2aa24f537eaa8f5e4235013cf8bce5ee
SCES-00344	Crash Bandicoot (Europe) (EDC).bin	19f9d235d124aeaf4c6b73cdde0738f5
SCES-00394	Rapid Racer (Europe) (En,Fr,De,Es,It) (Track 1).bin	10883ac19bc5dbaa69f722f52e70d70e
SCES-00408	Rally Cross (Europe) (Track 1).bin	5686b21bfc2e91b21dd469c206ad063e
SCES-00510	King's Field (Europe) (En,Fr,De).bin	6a5e9292a4e1f2d1866773e21a6d4921
SCES-00561	Real Bout Fatal Fury (Europe) (Track 01).bin	61a7abe38bf45991564abba47be3c85d
SCES-00562	King of Fighters '95, The (Europe) (Track 01).bin	6660066953e40d63441ca0a124faaba7
SCES-00568	Cool Boarders (Europe) (Track 01).bin	60b8018cdb6515c0b3a30235d362d1cf
SCES-00741	Ray Tracers (Europe).bin	e5cf8b5970e8d2b8393bc3967f4fafcc
SCES-00742	RayStorm (Europe).bin	aba450a4fcc2fc6430ce3785feb85caf
SCES-00842	Armored Core (Europe) (En,Fr,De,Es,It).bin	091e015370bbb8c17adcb8c3dd84390d
SCES-00866	Kurushi (Europe) (En,Fr,De,Es,It).bin	c79898b06a348223441b0393c5cdfef5
SCES-00867	Final Fantasy VII (Europe) (Disc 1).bin	95daa58e45d71bfe6ce3c699c87652a0
SCES-00868	Final Fantasy VII (France) (Disc 1).bin	cb1dfccc75154da5cf08994130139216
SCES-00869	Final Fantasy VII (Germany) (Disc 1).bin	2778db3d15f62ec879afada71c619b7b
SCES-00891	Disney's Action Game featuring Hercules (Europe).bin	1722a7ac7480b4f7e76b309714d097f7
SCES-00892	Disney Jeu d'Action Disney Presente Hercule (France).bin	816a41623a171a7e48eda5ce2c45a844
SCES-00893	Disneys Hercules Action-Spiel (Germany).bin	ec808ac8484dbc50e56866c1fdff3132
SCES-00894	Disney Action Game Disney Presenta Hercules (Italy).bin	d442e0ed9b5668cf33de265872f22f78
